YEAR,REGION,INDICATOR
1992,Кемеровская область,86.97
1992,Кировская область,69.79
1992,Костромская область,69.11
1992,Краснодарский край,54.18
1992,Красноярский край,73.65
1992,Крым,
1992,Курганская область,55.08
1992,Курская область,59.21
1992,Ленинградская область,66.21
1992,Липецкая область,63.41
1992,Магаданская область,84.06
1992,Марий Эл,62.36
1992,Мордовия,57.65
1992,Москва,100.0
1992,Московская область,79.7
1992,Мурманская область,91.79
1992,Ненецкий автономный округ,63.4
1992,Нижегородская область,77.35
1992,Новгородская область,70.12
1992,Новосибирская область,74.47
1992,Омская область,67.88
1992,Оренбургская область,64.49
1992,Орловская область,62.68
1992,Пензенская область,63.59
1992,Пермский край,77.14
1992,Приморский край,77.14
1992,Псковская область,63.9
1992,Республика Алтай,26.68
1992,Республика Коми,75.73
1992,Республика Тыва,48.1
1992,Ростовская область,70.81
1992,Рязанская область,66.11
1992,Самарская область,80.63
1992,Санкт-Петербург,100.0
1992,Саратовская область,74.38
1992,Сахалинская область,84.97
1992,Свердловская область,87.48
1992,Севастополь,
1992,Северная Осетия,67.96
1992,Смоленская область,68.8
1992,Ставропольский край,53.9
1992,Тамбовская область,56.7
1992,Татарстан,73.37
1992,Тверская область,71.53
1992,Томская область,70.65
1992,Тульская область,81.51
1992,Тюменская область,76.79
1992,Удмуртия,70.18
1992,Ульяновская область,72.19
1992,Хабаровский край,80.28
1992,Хакасия,72.46
1992,Ханты-Мансийский автономный округ,91.93
1992,Челябинская область,82.1
1992,Чечня,46.33
1992,Чувашия,59.31
1992,Чукотский автономный округ,73.26
1992,Якутия,66.7
1992,Ямало-Ненецкий автономный округ,82.62
1992,Ярославская область,81.52
1993,Адыгея,53.69
1993,Алтайский край,52.26
1993,Амурская область,66.42
1993,Архангельская область,73.29
1993,Астраханская область,67.59
1993,Башкортостан,64.19
1993,Белгородская область,64.07
1993,Брянская область,68.2
1993,Бурятия,59.49
1993,Владимирская область,79.59
1993,Волгоградская область,74.81
1993,Вологодская область,66.04
1993,Воронежская область,61.16
1993,Дагестан,43.37
1993,Еврейская автономная область,64.91
1993,Забайкальский край,63.64
1993,Ивановская область,82.27
1993,Ингушетия,25.91
1993,Иркутская область,79.32
1993,Кабардино-Балкария,59.5
1993,Калининградская область,78.57
1993,Калмыкия,37.08
1993,Калужская область,73.39
1993,Камчатский край,81.65
1993,Карачаево-Черкесия,47.61
1993,Карелия,73.74
1993,Кемеровская область,86.85
1993,Кировская область,69.66
1993,Костромская область,65.99
1993,Краснодарский край,54.08
1993,Красноярский край,73.56
1993,Крым,
1993,Курганская область,54.67
1993,Курская область,59.01
1993,Ленинградская область,66.24
1993,Липецкая область,62.68
1993,Магаданская область,84.58
1993,Марий Эл,62.21
1993,Мордовия,57.73
1993,Москва,100.0
1993,Московская область,79.69
1993,Мурманская область,92.07
1993,Ненецкий автономный округ,63.21
1993,Нижегородская область,77.35
1993,Новгородская область,70.09
1993,Новосибирская область,73.99
1993,Омская область,67.71
1993,Оренбургская область,64.19
1993,Орловская область,62.49
1993,Пензенская область,63.45
1993,Пермский край,76.76
1993,Приморский край,77.18
1993,Псковская область,64.03
1993,Республика Алтай,26.5
1993,Республика Коми,75.2
1993,Республика Тыва,48.17
1993,Ростовская область,68.73
1993,Рязанская область,65.98
1993,Самарская область,80.51
1993,Санкт-Петербург,100.0
1993,Саратовская область,74.06
1993,Сахалинская область,84.91
1993,Свердловская область,87.46
1993,Севастополь,
1993,Северная Осетия,69.68
1993,Смоленская область,68.82
1993,Ставропольский край,53.55
1993,Тамбовская область,56.6
1993,Татарстан,73.33
1993,Тверская область,71.43
1993,Томская область,65.73
1993,Тульская область,81.39
1993,Тюменская область,76.65
1993,Удмуртия,69.83
1993,Ульяновская область,72.07
1993,Хабаровский край,80.27
1993,Хакасия,72.3
1993,Ханты-Мансийский автономный округ,92.29
1993,Челябинская область,81.38
1993,Чечня,44.85
1993,Чувашия,59.23
1993,Чукотский автономный округ,71.97
1993,Якутия,65.92
1993,Ямало-Ненецкий автономный округ,82.69
1993,Ярославская область,81.17
1994,Адыгея,53.46
1994,Алтайский край,52.06
1994,Амурская область,66.14
1994,Архангельская область,73.36
1994,Астраханская область,67.46
1994,Башкортостан,64.16
1994,Белгородская область,64.25
1994,Брянская область,68.07
1994,Бурятия,59.43
1994,Владимирская область,79.65
1994,Волгоградская область,74.36
1994,Вологодская область,66.73
1994,Воронежская область,61.08
1994,Дагестан,43.09
1994,Еврейская автономная область,64.96
1994,Забайкальский край,63.51
1994,Ивановская область,82.22
1994,Ингушетия,25.31
1994,Иркутская область,79.29
1994,Кабардино-Балкария,59.18
1994,Калининградская область,78.42
1994,Калмыкия,37.47
1994,Калужская область,73.3
1994,Камчатский край,81.84
1994,Карачаево-Черкесия,47.38
1994,Карелия,73.97
1994,Кемеровская область,86.77
1994,Кировская область,69.85
1994,Костромская область,66.18
1994,Краснодарский край,53.95
1994,Красноярский край,73.56
1994,Крым,
1994,Курганская область,54.8
1994,Курская область,59.11
1994,Ленинградская область,66.24
1994,Липецкая область,62.7
1994,Магаданская область,84.67
1994,Марий Эл,62.28
1994,Мордовия,57.81
1994,Москва,100.0
1994,Московская область,79.64
1994,Мурманская область,92.22
1994,Ненецкий автономный округ,62.89
1994,Нижегородская область,77.38
1994,Новгородская область,70.11
1994,Новосибирская область,73.91
1994,Омская область,67.61
1994,Оренбургская область,64.06
1994,Орловская область,62.3
1994,Пензенская область,63.51
1994,Пермский край,76.79
1994,Приморский край,77.12
1994,Псковская область,64.22
1994,Республика Алтай,26.32
1994,Республика Коми,75.18
1994,Республика Тыва,48.5
1994,Ростовская область,67.94
1994,Рязанская область,66.06
1994,Самарская область,80.41
1994,Санкт-Петербург,100.0
1994,Саратовская область,73.86
1994,Сахалинская область,84.33
1994,Свердловская область,87.45
1994,Севастополь,
1994,Северная Осетия,70.23
1994,Смоленская область,68.91
1994,Ставропольский край,53.44
1994,Тамбовская область,56.64
1994,Татарстан,73.29
1994,Тверская область,71.52
1994,Томская область,64.57
1994,Тульская область,81.28
1994,Тюменская область,76.38
1994,Удмуртия,69.87
1994,Ульяновская область,72.16
1994,Хабаровский край,80.19
1994,Хакасия,72.2
1994,Ханты-Мансийский автономный округ,92.14
1994,Челябинская область,81.31
1994,Чечня,44.14
1994,Чувашия,59.38
1994,Чукотский автономный округ,71.17
1994,Якутия,65.47
1994,Ямало-Ненецкий автономный округ,82.96
1994,Ярославская область,80.54
1995,Адыгея,53.38
1995,Алтайский край,51.97
1995,Амурская область,67.23
1995,Архангельская область,73.6
1995,Астраханская область,67.73
1995,Башкортостан,64.18
1995,Белгородская область,64.15
1995,Брянская область,67.91
1995,Бурятия,59.63
1995,Владимирская область,79.7
1995,Волгоградская область,74.37
1995,Вологодская область,67.35
1995,Воронежская область,61.1
1995,Дагестан,42.96
1995,Еврейская автономная область,66.5
1995,Забайкальский край,63.57
1995,Ивановская область,82.21
1995,Ингушетия,29.48
1995,Иркутская область,79.35
1995,Кабардино-Балкария,59.12
1995,Калининградская область,78.33
1995,Калмыкия,38.05
1995,Калужская область,73.4
1995,Камчатский край,80.86
1995,Карачаево-Черкесия,47.22
1995,Карелия,74.25
1995,Кемеровская область,86.73
1995,Кировская область,70.02
1995,Костромская область,66.46
1995,Краснодарский край,54.12
1995,Красноярский край,74.08
1995,Крым,
1995,Курганская область,55.02
1995,Курская область,59.23
1995,Ленинградская область,66.23
1995,Липецкая область,62.79
1995,Магаданская область,85.63
1995,Марий Эл,62.72
1995,Мордовия,58.04
1995,Москва,100.0
1995,Московская область,79.71
1995,Мурманская область,92.28
1995,Ненецкий автономный округ,62.37
1995,Нижегородская область,77.42
1995,Новгородская область,70.24
1995,Новосибирская область,73.95
1995,Омская область,67.59
1995,Оренбургская область,64.08
1995,Орловская область,62.39
1995,Пензенская область,63.81
1995,Пермский край,76.58
1995,Приморский край,77.2
1995,Псковская область,64.5
1995,Республика Алтай,23.63
1995,Республика Коми,75.55
1995,Республика Тыва,48.71
1995,Ростовская область,67.88
1995,Рязанская область,67.0
1995,Самарская область,80.38
1995,Санкт-Петербург,100.0
1995,Саратовская область,73.78
1995,Сахалинская область,84.72
1995,Свердловская область,87.74
1995,Севастополь,
1995,Северная Осетия,69.44
1995,Смоленская область,69.22
1995,Ставропольский край,53.51
1995,Тамбовская область,56.68
1995,Татарстан,73.24
1995,Тверская область,71.64
1995,Томская область,65.24
1995,Тульская область,81.21
1995,Тюменская область,76.39
1995,Удмуртия,69.93
1995,Ульяновская область,72.4
1995,Хабаровский край,80.44
1995,Хакасия,72.49
1995,Ханты-Мансийский автономный округ,91.94
1995,Челябинская область,81.33
1995,Чечня,38.78
1995,Чувашия,59.67
1995,Чукотский автономный округ,70.67
1995,Якутия,64.76
1995,Ямало-Ненецкий автономный округ,83.14
1995,Ярославская область,80.62
1996,Адыгея,53.25
1996,Алтайский край,52.45
1996,Амурская область,66.24
1996,Архангельская область,73.83
1996,Астраханская область,67.63
1996,Башкортостан,64.08
1996,Белгородская область,64.34
1996,Брянская область,68.06
1996,Бурятия,59.79
1996,Владимирская область,79.67
1996,Волгоградская область,74.54
1996,Вологодская область,67.8
1996,Воронежская область,61.13
1996,Дагестан,43.41
1996,Еврейская автономная область,66.59
1996,Забайкальский край,63.55
1996,Ивановская область,82.23
1996,Ингушетия,41.81
1996,Иркутская область,79.45
1996,Кабардино-Балкария,57.23
1996,Калининградская область,78.28
1996,Калмыкия,38.74
1996,Калужская область,73.46
1996,Камчатский край,80.88
1996,Карачаево-Черкесия,45.69
1996,Карелия,73.97
1996,Кемеровская область,86.66
1996,Кировская область,70.31
1996,Костромская область,66.71
1996,Краснодарский край,54.15
1996,Красноярский край,74.37
1996,Крым,
1996,Курганская область,55.23
1996,Курская область,59.38
1996,Ленинградская область,66.31
1996,Липецкая область,62.92
1996,Магаданская область,88.44
1996,Марий Эл,62.84
1996,Мордовия,58.31
1996,Москва,100.0
1996,Московская область,79.64
1996,Мурманская область,92.01
1996,Ненецкий автономный округ,62.03
1996,Нижегородская область,77.46
1996,Новгородская область,70.19
1996,Новосибирская область,74.13
1996,Омская область,67.74
1996,Оренбургская область,64.15
1996,Орловская область,62.63
1996,Пензенская область,64.04
1996,Пермский край,76.67
1996,Приморский край,77.36
1996,Псковская область,64.59
1996,Республика Алтай,23.99
1996,Республика Коми,75.19
1996,Республика Тыва,49.45
1996,Ростовская область,67.88
1996,Рязанская область,67.2
1996,Самарская область,80.61
1996,Санкт-Петербург,100.0
1996,Саратовская область,73.48
1996,Сахалинская область,85.56
1996,Свердловская область,87.77
1996,Севастополь,
1996,Северная Осетия,68.97
1996,Смоленская область,69.39
1996,Ставропольский край,54.03
1996,Тамбовская область,56.9
1996,Татарстан,73.3
1996,Тверская область,71.76
1996,Томская область,65.68
1996,Тульская область,81.18
1996,Тюменская область,76.56
1996,Удмуртия,69.76
1996,Ульяновская область,72.52
1996,Хабаровский край,80.63
1996,Хакасия,71.58
1996,Ханты-Мансийский автономный округ,91.77
1996,Челябинская область,81.38
1996,Чечня,38.57
1996,Чувашия,59.82
1996,Чукотский автономный округ,69.97
1996,Якутия,64.52
1996,Ямало-Ненецкий автономный округ,83.24
1996,Ярославская область,80.52
1997,Адыгея,53.16
1997,Алтайский край,52.55
1997,Амурская область,65.82
1997,Архангельская область,74.07
1997,Астраханская область,67.94
1997,Башкортостан,63.85
1997,Белгородская область,64.57
1997,Брянская область,68.27
1997,Бурятия,59.91
1997,Владимирская область,79.72
1997,Волгоградская область,74.8
1997,Вологодская область,68.16
1997,Воронежская область,61.29
1997,Дагестан,43.46
1997,Еврейская автономная область,66.79
1997,Забайкальский край,63.76
1997,Ивановская область,82.26
1997,Ингушетия,42.28
1997,Иркутская область,79.49
1997,Кабардино-Балкария,57.12
1997,Калининградская область,78.25
1997,Калмыкия,39.56
1997,Калужская область,74.06
1997,Камчатский край,80.83
1997,Карачаево-Черкесия,44.13
1997,Карелия,73.56
1997,Кемеровская область,86.62
1997,Кировская область,70.53
1997,Костромская область,66.97
1997,Краснодарский край,54.16
1997,Красноярский край,74.61
1997,Крым,
1997,Курганская область,55.44
1997,Курская область,59.66
1997,Ленинградская область,66.22
1997,Липецкая область,63.32
1997,Магаданская область,88.76
1997,Марий Эл,62.96
1997,Мордовия,58.56
1997,Москва,100.0
1997,Московская область,79.61
1997,Мурманская область,92.15
1997,Ненецкий автономный округ,61.89
1997,Нижегородская область,77.57
1997,Новгородская область,70.16
1997,Новосибирская область,74.27
1997,Омская область,67.84
1997,Оренбургская область,64.24
1997,Орловская область,62.88
1997,Пензенская область,64.21
1997,Пермский край,76.52
1997,Приморский край,77.57
1997,Псковская область,64.84
1997,Республика Алтай,24.15
1997,Республика Коми,75.37
1997,Республика Тыва,47.96
1997,Ростовская область,67.78
1997,Рязанская область,67.47
1997,Самарская область,80.6
1997,Санкт-Петербург,100.0
1997,Саратовская область,73.25
1997,Сахалинская область,85.85
1997,Свердловская область,87.68
1997,Севастополь,
1997,Северная Осетия,68.57
1997,Смоленская область,69.53
1997,Ставропольский край,54.16
1997,Тамбовская область,57.06
1997,Татарстан,73.33
1997,Тверская область,72.02
1997,Томская область,66.07
1997,Тульская область,81.23
